Blog	is	no	not	because	there	t	people	who	actually	in	an	are	few	but	they	or	it	so	how	that	by	more	time	as	have	s	for	with	all	those	what	new	one	into	my	when	i	at	was	would	from	days	out	we	were	me	then	where	be	our	you	about	ve	really	like	this	get	has	today	over	each	can	know	life	up	world	through	nbsp	first	read	way	years	he	his	stories	obama	president
Seth Godin's Blog on marketing, tribes and respect	0	0	0	0	0	1	1	0	0	0	0	2	1	1	1	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Slashdot	2	0	0	0	0	0	3	0	0	12	3	2	0	0	1	0	2	0	0	0	1	1	0	3	4	5	5	1	0	2	0	1	0	0	0	1	0	2	0	0	2	0	0	0	2	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
The Dish	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	1	0	1	0	3	1	1	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
WIL WHEATON dot NET	12	3	10	15	5	19	14	13	1	20	3	11	0	19	17	6	32	5	16	47	4	5	8	6	11	14	13	11	7	1	7	1	2	4	42	9	112	7	21	7	3	1	8	11	11	23	2	0	9	12	11	24	12	4	13	6	1	5	0	3	1	8	7	6	4	5	2	0	2	2	4	6	12	6	6	0	0
43 Folders	24	2	8	8	4	4	3	4	2	21	8	10	2	7	1	4	28	8	5	29	8	12	2	11	7	23	19	8	10	3	8	1	3	4	17	3	48	9	2	2	4	2	4	5	2	5	5	4	3	2	39	10	8	4	6	18	4	7	1	2	3	8	7	10	3	1	2	0	1	39	3	3	1	2	0	0	0
Autoblog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
blog maverick	2	1	3	0	1	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Captain's Quarters	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Copyblogger	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	2	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	3	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Latest from Crooks and Liars	6	2	0	0	1	2	0	2	0	4	0	1	0	2	1	0	1	1	0	3	1	3	0	0	2	0	3	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	3	2	0	1	0	1	1	4	0	1	0	2	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	2	2	0	3	2
Engadget RSS Feed	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gothamist	1	0	1	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	2	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
kottke.org	6	0	1	0	1	0	1	3	1	5	1	1	3	2	0	1	6	1	2	6	8	0	1	3	1	14	7	3	0	0	1	0	7	0	2	0	2	0	1	0	3	0	1	2	0	2	1	0	1	1	0	1	3	0	3	4	0	3	0	0	1	2	0	2	1	6	4	4	2	0	1	2	3	7	2	3	2
mezzoblue	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Neil Gaiman's Journal	8	1	3	1	4	6	8	4	2	20	2	2	4	12	10	6	27	2	5	30	5	6	9	2	6	15	8	7	2	1	3	2	3	3	6	9	57	10	36	3	11	2	3	4	5	19	2	2	4	0	7	10	3	1	3	2	2	1	1	2	2	1	1	1	9	2	2	20	1	6	3	8	27	11	8	0	0
PerezHilton	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0
plasticbag.org	0	0	0	0	0	1	1	1	0	1	0	2	0	1	0	0	2	0	0	1	1	3	0	1	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Derek Powazek	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	2	1	1	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Quick Online Tips	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
ongoing by Tim Bray	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	1	0	1	0	0	2	0	0	2	1	1	0	1	3	1	1	0	0	1	9	1	0	0	0	0	1	1	0	1	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0
TechCrunch	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMZ.com	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
